,Food,Mines,Oil,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars,Trans,Utils,Rtail,Finan,Other
1993-06-01,-0.0045000000000000005,0.0344,-0.0104,-0.084,-0.0036,-0.0394,-0.024900000000000002,-0.0199,0.0121,-0.023799999999999998,0.002,0.0429,0.0045000000000000005,0.0319,-0.0349,0.0391,0.0139
1993-07-01,-0.0259,0.0672,0.004699999999999999,-0.04,0.0169,0.0086,-0.0678,0.0038,-0.021099999999999997,-0.0274,-0.0172,0.0254,0.0341,0.0194,0.005,0.0241,-0.0042
1993-08-01,0.0436,-0.068,0.042699999999999995,0.053399999999999996,0.0768,0.0351,0.0355,0.034,0.0288,0.051100000000000007,0.0581,-0.0042,0.040999999999999995,0.037000000000000005,0.0397,0.031200000000000002,0.0435
1993-09-01,-0.0216,-0.0801,0.0134,-0.0334,-0.0063,-0.0265,-0.004,-0.022799999999999997,-0.043899999999999995,0.005699999999999999,-0.0116,0.0085,-0.0072,-0.0064,0.0017000000000000001,0.023799999999999998,0.0089
1993-10-01,0.059800000000000006,0.0668,-0.0195,0.0451,0.042199999999999994,0.0236,0.0658,0.0286,0.0388,0.0692,0.0102,0.0981,0.0226,-0.0197,0.049800000000000004,-0.0379,0.0273
1993-11-01,0.0031,-0.025,-0.06,0.012,-0.0055000000000000005,0.0134,0.0229,0.0294,0.0072,-0.0009,0.0079,0.015300000000000001,0.0125,-0.0552,0.0108,-0.0384,-0.0296
1993-12-01,0.0159,0.107,0.006,0.0049,0.0124,0.026099999999999998,0.0115,0.0124,0.0674,0.0363,0.051699999999999996,0.0424,0.0375,0.0161,-0.0318,0.0225,0.0151
1994-01-01,-0.011899999999999999,0.009300000000000001,0.048799999999999996,-0.028300000000000002,0.021099999999999997,0.08410000000000001,0.0087,0.0265,0.1039,0.0060999999999999995,0.042300000000000004,0.0824,0.0379,-0.012,0.0097,0.041100000000000005,0.0385
1994-02-01,-0.0084,-0.009300000000000001,-0.0294,0.0191,-0.0137,-0.0095,-0.0493,0.002,-0.030699999999999998,-0.0059,0.009000000000000001,-0.046900000000000004,-0.0165,-0.049800000000000004,0.021400000000000002,-0.0403,-0.0316
1994-03-01,-0.0382,0.018000000000000002,-0.0356,-0.0054,-0.0352,-0.0297,-0.0718,-0.047599999999999996,-0.0564,-0.044000000000000004,-0.039900000000000005,-0.06570000000000001,-0.0512,-0.0394,-0.0501,-0.032400000000000005,-0.0504
1994-04-01,0.013999999999999999,-0.0974,0.042,0.0026,-0.0166,0.024900000000000002,0.0462,0.005600000000000001,-0.009399999999999999,0.0024,-0.0232,0.004699999999999999,-0.004699999999999999,0.0213,0.0005,0.025099999999999997,0.0002
1994-05-01,-0.0151,0.0116,0.009000000000000001,-0.034,0.0194,0.0375,0.03,0.011399999999999999,0.0349,0.030299999999999997,0.0040999999999999995,-0.0218,-0.0048,-0.0536,-0.0268,0.0436,0.022099999999999998
1994-06-01,-0.0124,-0.0233,-0.0271,-0.0383,-0.0231,-0.0285,-0.0298,-0.031,0.0076,-0.0051,-0.045,-0.030699999999999998,-0.0166,-0.0315,-0.0207,-0.0258,-0.023700000000000002
1994-07-01,0.0333,0.0086,0.0313,0.0138,0.0239,0.0392,0.0137,0.0287,0.07200000000000001,-0.0074,0.045700000000000005,0.0366,0.0096,0.0519,0.0091,0.0281,0.0345
1994-08-01,0.0639,0.0443,-0.0022,0.0516,0.046,0.0613,0.1073,0.057699999999999994,0.054400000000000004,0.0335,0.0654,-0.011699999999999999,0.0327,0.0066,0.0409,0.0354,0.0437
1994-09-01,0.009399999999999999,0.0558,-0.020499999999999997,-0.0355,-0.016399999999999998,-0.0072,0.0063,-0.0335,0.0032,-0.025699999999999997,-0.0151,-0.0533,-0.0638,-0.0279,-0.0263,-0.047599999999999996,-0.0054
1994-10-01,0.023399999999999997,-0.0843,0.0738,0.015,-0.0027,-0.0008,0.024399999999999998,0.0088,-0.0401,0.0161,0.0454,-0.0166,0.0218,0.0159,0.0126,0.0032,0.0111
1994-11-01,-0.0086,-0.0946,-0.051100000000000007,-0.0375,-0.0473,-0.0721,0.0101,-0.0418,-0.0863,-0.035699999999999996,-0.0363,-0.0472,-0.0383,0.0028000000000000004,-0.033,-0.0536,-0.0403
1994-12-01,0.0108,0.0258,-0.0069,0.0101,0.0091,0.0348,0.0028000000000000004,0.0072,0.043899999999999995,0.0115,0.0375,0.0449,0.0215,0.0034999999999999996,-0.0412,0.0134,0.0207
1995-01-01,0.026699999999999998,-0.0621,0.0024,-0.028999999999999998,0.0123,-0.024900000000000002,0.0587,0.0124,-0.0637,0.025099999999999997,-0.0021,-0.057999999999999996,0.02,0.0622,0.0155,0.056299999999999996,0.0207
1995-02-01,0.0296,0.0424,0.0475,0.0265,0.0507,0.060700000000000004,0.0176,0.0288,0.0319,0.0425,0.06860000000000001,0.0464,0.0665,0.008199999999999999,0.0288,0.049100000000000005,0.0359
1995-03-01,0.0327,0.10619999999999999,0.051399999999999994,-0.0002,0.0373,0.0587,0.019299999999999998,0.0037,0.0227,0.0446,0.0418,0.0127,0.04650000000000001,-0.0175,0.0433,0.0118,0.0231
1995-04-01,0.0382,-0.0159,0.0229,-0.0072,0.0182,0.030600000000000002,0.0348,-0.0004,0.0018,0.0123,0.0785,0.0176,0.0351,0.023799999999999998,-0.0225,0.0179,0.018600000000000002
1995-05-01,0.051500000000000004,-0.01,0.0416,0.0159,0.0252,0.0301,0.030899999999999997,0.0152,0.0161,0.049100000000000005,0.0354,0.0501,0.0215,0.0604,0.0358,0.0622,0.0106
1995-06-01,0.0183,0.0088,-0.0308,0.0248,0.008100000000000001,0.0149,0.0301,0.032,0.0703,0.005,0.061900000000000004,0.0118,0.042300000000000004,-0.0046,0.0524,0.0177,0.0528
1995-07-01,0.0087,0.0557,0.0219,0.0611,0.0275,0.0264,0.0256,0.044199999999999996,0.0682,0.0334,0.0757,0.022400000000000003,0.0767,-0.0037,0.0313,0.04190000000000001,0.0538
